language,paradigm
Roff,undefined
SaltStack,undefined
Vala,undefined
Shell,scripted
PowerShell,scripted
Vim script,scripted
Emacs Lisp,scripted
Batchfile,scripted
PHP,procedural
C++,procedural
JavaScript,oob
Python,oob
Java,oob
Ruby,oob
C#,oob
TypeScript,oob
Objective-C,oob
Jupyter Notebook,oob
Kotlin,oob
Dart,oob
Go,multi
Swift,multi
Scala,multi
R,multi
Rust,multi
Perl,multi
Lua,multi
CoffeeScript,multi
Matlab,multi
Julia,multi
Visual Basic,multi
D,multi
F#,multi
Assembly,machine
C,imperative
Arduino,imperative
Fortran,imperative
Elixir,functional
Groovy,functional
Haskell,functional
Clojure,functional
Erlang,functional
OCaml,functional
Common Lisp,functional
HTML,declarative
CSS,declarative
XSLT,declarative
Elm,declarative
PLpgSQL,declarative
Nix,declarative
