language1,language2,common_actors
JavaScript,JavaScript,35089
JavaScript,Python,1504
JavaScript,Java,1091
JavaScript,Ruby,1024
JavaScript,HTML,2994
JavaScript,PHP,905
JavaScript,C++,330
JavaScript,Go,389
JavaScript,CSS,1772
JavaScript,C#,347
JavaScript,TypeScript,860
JavaScript,C,222
JavaScript,Shell,614
JavaScript,Scala,117
JavaScript,Swift,118
JavaScript,PowerShell,49
JavaScript,Rust,70
JavaScript,Objective-C,211
JavaScript,Jupyter Notebook,83
JavaScript,Lua,33
JavaScript,DM,3
JavaScript,R,27
JavaScript,Kotlin,26
JavaScript,Vue,158
JavaScript,Julia,4
JavaScript,Elixir,61
JavaScript,Perl,44
JavaScript,Makefile,87
JavaScript,Groovy,49
JavaScript,Haskell,37
JavaScript,CoffeeScript,157
JavaScript,TeX,20
JavaScript,HCL,26
JavaScript,Clojure,37
JavaScript,OCaml,18
JavaScript,Nix,6
JavaScript,Vim script,27
JavaScript,Erlang,18
JavaScript,XSLT,25
JavaScript,Matlab,3
JavaScript,Dart,7
JavaScript,Emacs Lisp,17
JavaScript,PLpgSQL,58
JavaScript,Puppet,22
JavaScript,CMake,16
JavaScript,Smarty,20
JavaScript,Visual Basic,3
JavaScript,Fortran,5
JavaScript,D,5
JavaScript,Roff,7
Python,JavaScript,1504
Python,Python,20157
Python,Java,533
Python,Ruby,358
Python,HTML,914
Python,PHP,238
Python,C++,606
Python,Go,386
Python,CSS,465
Python,C#,106
Python,TypeScript,143
Python,C,399
Python,Shell,897
Python,Scala,72
Python,Swift,36
Python,PowerShell,27
Python,Rust,66
Python,Objective-C,39
Python,Jupyter Notebook,281
Python,Lua,31
Python,DM,1
Python,R,40
Python,Kotlin,16
Python,Vue,16
Python,Julia,24
Python,Elixir,15
Python,Perl,68
Python,Makefile,143
Python,Groovy,66
Python,Haskell,23
Python,CoffeeScript,30
Python,TeX,75
Python,HCL,37
Python,Clojure,12
Python,OCaml,14
Python,Nix,10
Python,Vim script,34
Python,Erlang,14
Python,XSLT,23
Python,Matlab,21
Python,Dart,5
Python,Emacs Lisp,12
Python,PLpgSQL,24
Python,Puppet,28
Python,CMake,55
Python,Smarty,21
Python,Visual Basic,5
Python,Fortran,14
Python,D,4
Python,Roff,5
Java,JavaScript,1091
Java,Python,533
Java,Java,17291
Java,Ruby,205
Java,HTML,558
Java,PHP,183
Java,C++,189
Java,Go,168
Java,CSS,287
Java,C#,145
Java,TypeScript,194
Java,C,162
Java,Shell,452
Java,Scala,129
Java,Swift,81
Java,PowerShell,3
Java,Rust,12
Java,Objective-C,160
Java,Jupyter Notebook,25
Java,Lua,4
Java,DM,1
Java,R,16
Java,Kotlin,116
Java,Vue,11
Java,Julia,0
Java,Elixir,6
Java,Perl,21
Java,Makefile,65
Java,Groovy,125
Java,Haskell,7
Java,CoffeeScript,14
Java,TeX,12
Java,HCL,13
Java,Clojure,20
Java,OCaml,2
Java,Nix,0
Java,Vim script,4
Java,Erlang,5
Java,XSLT,40
Java,Matlab,7
Java,Dart,8
Java,Emacs Lisp,3
Java,PLpgSQL,14
Java,Puppet,3
Java,CMake,8
Java,Smarty,9
Java,Visual Basic,3
Java,Fortran,1
Java,D,1
Java,Roff,20
Ruby,JavaScript,1024
Ruby,Python,358
Ruby,Java,205
Ruby,Ruby,9849
Ruby,HTML,680
Ruby,PHP,140
Ruby,C++,68
Ruby,Go,212
Ruby,CSS,393
Ruby,C#,42
Ruby,TypeScript,70
Ruby,C,90
Ruby,Shell,312
Ruby,Scala,26
Ruby,Swift,41
Ruby,PowerShell,13
Ruby,Rust,30
Ruby,Objective-C,39
Ruby,Jupyter Notebook,8
Ruby,Lua,8
Ruby,DM,0
Ruby,R,7
Ruby,Kotlin,7
Ruby,Vue,6
Ruby,Julia,1
Ruby,Elixir,49
Ruby,Perl,24
Ruby,Makefile,41
Ruby,Groovy,18
Ruby,Haskell,13
Ruby,CoffeeScript,48
Ruby,TeX,7
Ruby,HCL,28
Ruby,Clojure,19
Ruby,OCaml,0
Ruby,Nix,1
Ruby,Vim script,25
Ruby,Erlang,8
Ruby,XSLT,13
Ruby,Matlab,3
Ruby,Dart,4
Ruby,Emacs Lisp,9
Ruby,PLpgSQL,7
Ruby,Puppet,73
Ruby,CMake,6
Ruby,Smarty,6
Ruby,Visual Basic,1
Ruby,Fortran,0
Ruby,D,2
Ruby,Roff,7
HTML,JavaScript,2994
HTML,Python,914
HTML,Java,558
HTML,Ruby,680
HTML,HTML,15653
HTML,PHP,464
HTML,C++,181
HTML,Go,225
HTML,CSS,1234
HTML,C#,137
HTML,TypeScript,274
HTML,C,130
HTML,Shell,400
HTML,Scala,93
HTML,Swift,40
HTML,PowerShell,14
HTML,Rust,49
HTML,Objective-C,38
HTML,Jupyter Notebook,81
HTML,Lua,16
HTML,DM,1
HTML,R,77
HTML,Kotlin,17
HTML,Vue,17
HTML,Julia,9
HTML,Elixir,30
HTML,Perl,28
HTML,Makefile,38
HTML,Groovy,23
HTML,Haskell,24
HTML,CoffeeScript,38
HTML,TeX,35
HTML,HCL,18
HTML,Clojure,10
HTML,OCaml,5
HTML,Nix,2
HTML,Vim script,16
HTML,Erlang,8
HTML,XSLT,29
HTML,Matlab,5
HTML,Dart,5
HTML,Emacs Lisp,3
HTML,PLpgSQL,25
HTML,Puppet,24
HTML,CMake,16
HTML,Smarty,9
HTML,Visual Basic,3
HTML,Fortran,4
HTML,D,2
HTML,Roff,6
PHP,JavaScript,905
PHP,Python,238
PHP,Java,183
PHP,Ruby,140
PHP,HTML,464
PHP,PHP,10104
PHP,C++,56
PHP,Go,78
PHP,CSS,336
PHP,C#,74
PHP,TypeScript,82
PHP,C,83
PHP,Shell,178
PHP,Scala,5
PHP,Swift,15
PHP,PowerShell,8
PHP,Rust,6
PHP,Objective-C,14
PHP,Jupyter Notebook,4
PHP,Lua,10
PHP,DM,0
PHP,R,2
PHP,Kotlin,4
PHP,Vue,31
PHP,Julia,0
PHP,Elixir,9
PHP,Perl,20
PHP,Makefile,37
PHP,Groovy,11
PHP,Haskell,5
PHP,CoffeeScript,22
PHP,TeX,6
PHP,HCL,6
PHP,Clojure,4
PHP,OCaml,0
PHP,Nix,1
PHP,Vim script,4
PHP,Erlang,4
PHP,XSLT,9
PHP,Matlab,1
PHP,Dart,2
PHP,Emacs Lisp,7
PHP,PLpgSQL,6
PHP,Puppet,5
PHP,CMake,6
PHP,Smarty,9
PHP,Visual Basic,4
PHP,Fortran,0
PHP,D,3
PHP,Roff,2
C++,JavaScript,330
C++,Python,606
C++,Java,189
C++,Ruby,68
C++,HTML,181
C++,PHP,56
C++,C++,8149
C++,Go,77
C++,CSS,104
C++,C#,105
C++,TypeScript,53
C++,C,445
C++,Shell,246
C++,Scala,18
C++,Swift,24
C++,PowerShell,24
C++,Rust,31
C++,Objective-C,37
C++,Jupyter Notebook,49
C++,Lua,47
C++,DM,2
C++,R,23
C++,Kotlin,6
C++,Vue,2
C++,Julia,6
C++,Elixir,3
C++,Perl,24
C++,Makefile,80
C++,Groovy,6
C++,Haskell,10
C++,CoffeeScript,13
C++,TeX,16
C++,HCL,0
C++,Clojure,6
C++,OCaml,6
C++,Nix,9
C++,Vim script,8
C++,Erlang,11
C++,XSLT,14
C++,Matlab,15
C++,Dart,16
C++,Emacs Lisp,5
C++,PLpgSQL,6
C++,Puppet,3
C++,CMake,97
C++,Smarty,1
C++,Visual Basic,5
C++,Fortran,12
C++,D,5
C++,Roff,2
Go,JavaScript,389
Go,Python,386
Go,Java,168
Go,Ruby,212
Go,HTML,225
Go,PHP,78
Go,C++,77
Go,Go,5221
Go,CSS,128
Go,C#,43
Go,TypeScript,53
Go,C,107
Go,Shell,401
Go,Scala,27
Go,Swift,12
Go,PowerShell,5
Go,Rust,42
Go,Objective-C,16
Go,Jupyter Notebook,7
Go,Lua,5
Go,DM,0
Go,R,1
Go,Kotlin,6
Go,Vue,10
Go,Julia,0
Go,Elixir,14
Go,Perl,17
Go,Makefile,76
Go,Groovy,33
Go,Haskell,5
Go,CoffeeScript,17
Go,TeX,13
Go,HCL,43
Go,Clojure,6
Go,OCaml,3
Go,Nix,4
Go,Vim script,17
Go,Erlang,3
Go,XSLT,4
Go,Matlab,2
Go,Dart,4
Go,Emacs Lisp,8
Go,PLpgSQL,7
Go,Puppet,5
Go,CMake,3
Go,Smarty,24
Go,Visual Basic,1
Go,Fortran,1
Go,D,1
Go,Roff,4
CSS,JavaScript,1772
CSS,Python,465
CSS,Java,287
CSS,Ruby,393
CSS,HTML,1234
CSS,PHP,336
CSS,C++,104
CSS,Go,128
CSS,CSS,8076
CSS,C#,73
CSS,TypeScript,174
CSS,C,90
CSS,Shell,244
CSS,Scala,52
CSS,Swift,33
CSS,PowerShell,9
CSS,Rust,25
CSS,Objective-C,25
CSS,Jupyter Notebook,29
CSS,Lua,13
CSS,DM,1
CSS,R,19
CSS,Kotlin,8
CSS,Vue,35
CSS,Julia,4
CSS,Elixir,28
CSS,Perl,20
CSS,Makefile,36
CSS,Groovy,15
CSS,Haskell,11
CSS,CoffeeScript,41
CSS,TeX,13
CSS,HCL,14
CSS,Clojure,10
CSS,OCaml,2
CSS,Nix,2
CSS,Vim script,10
CSS,Erlang,5
CSS,XSLT,12
CSS,Matlab,0
CSS,Dart,6
CSS,Emacs Lisp,6
CSS,PLpgSQL,8
CSS,Puppet,27
CSS,CMake,6
CSS,Smarty,5
CSS,Visual Basic,0
CSS,Fortran,1
CSS,D,7
CSS,Roff,2
C#,JavaScript,347
C#,Python,106
C#,Java,145
C#,Ruby,42
C#,HTML,137
C#,PHP,74
C#,C++,105
C#,Go,43
C#,CSS,73
C#,C#,6223
C#,TypeScript,124
C#,C,57
C#,Shell,48
C#,Scala,6
C#,Swift,17
C#,PowerShell,81
C#,Rust,10
C#,Objective-C,29
C#,Jupyter Notebook,8
C#,Lua,8
C#,DM,3
C#,R,1
C#,Kotlin,5
C#,Vue,3
C#,Julia,0
C#,Elixir,3
C#,Perl,5
C#,Makefile,10
C#,Groovy,7
C#,Haskell,1
C#,CoffeeScript,5
C#,TeX,4
C#,HCL,0
C#,Clojure,1
C#,OCaml,0
C#,Nix,0
C#,Vim script,1
C#,Erlang,2
