language1,language2,common_actors
JavaScript,JavaScript,40483
JavaScript,Java,1406
JavaScript,Python,1787
JavaScript,HTML,3233
JavaScript,Ruby,1075
JavaScript,PHP,986
JavaScript,C++,408
JavaScript,C#,440
JavaScript,TypeScript,1150
JavaScript,CSS,1845
JavaScript,Go,469
JavaScript,C,297
JavaScript,Shell,724
JavaScript,Swift,128
JavaScript,Scala,127
JavaScript,PowerShell,50
JavaScript,Jupyter Notebook,65
JavaScript,Rust,78
JavaScript,Objective-C,237
JavaScript,Kotlin,49
JavaScript,DM,6
JavaScript,R,35
JavaScript,Vue,210
JavaScript,Lua,49
JavaScript,TeX,41
JavaScript,Perl,55
JavaScript,Makefile,90
JavaScript,Julia,11
JavaScript,Groovy,69
JavaScript,Elixir,69
JavaScript,CoffeeScript,157
JavaScript,Haskell,34
JavaScript,Clojure,33
JavaScript,OCaml,21
JavaScript,HCL,34
JavaScript,Matlab,10
JavaScript,Nix,7
JavaScript,Vim script,40
JavaScript,Erlang,17
JavaScript,Dart,10
JavaScript,CMake,9
JavaScript,XSLT,28
JavaScript,Emacs Lisp,13
JavaScript,Visual Basic,7
JavaScript,Arduino,15
JavaScript,Smarty,18
JavaScript,Puppet,20
JavaScript,PLpgSQL,46
JavaScript,D,1
JavaScript,Assembly,10
Java,JavaScript,1406
Java,Java,23581
Java,Python,672
Java,HTML,821
Java,Ruby,233
Java,PHP,253
Java,C++,269
Java,C#,227
Java,TypeScript,293
Java,CSS,381
Java,Go,204
Java,C,203
Java,Shell,525
Java,Swift,94
Java,Scala,142
Java,PowerShell,7
Java,Jupyter Notebook,45
Java,Rust,17
Java,Objective-C,152
Java,Kotlin,186
Java,DM,1
Java,R,17
Java,Vue,13
Java,Lua,12
Java,TeX,36
Java,Perl,32
Java,Makefile,65
Java,Julia,1
Java,Groovy,137
Java,Elixir,9
Java,CoffeeScript,21
Java,Haskell,11
Java,Clojure,20
Java,OCaml,8
Java,HCL,11
Java,Matlab,13
Java,Nix,4
Java,Vim script,5
Java,Erlang,6
Java,Dart,11
Java,CMake,9
Java,XSLT,37
Java,Emacs Lisp,4
Java,Visual Basic,2
Java,Arduino,21
Java,Smarty,10
Java,Puppet,6
Java,PLpgSQL,22
Java,D,2
Java,Assembly,4
Python,JavaScript,1787
Python,Java,672
Python,Python,23954
Python,HTML,1139
Python,Ruby,444
Python,PHP,281
Python,C++,755
Python,C#,159
Python,TypeScript,184
Python,CSS,521
Python,Go,466
Python,C,510
Python,Shell,1028
Python,Swift,42
Python,Scala,77
Python,PowerShell,29
Python,Jupyter Notebook,401
Python,Rust,78
Python,Objective-C,37
Python,Kotlin,25
Python,DM,6
Python,R,53
Python,Vue,33
Python,Lua,49
Python,TeX,86
Python,Perl,82
Python,Makefile,145
Python,Julia,14
Python,Groovy,61
Python,Elixir,23
Python,CoffeeScript,30
Python,Haskell,34
Python,Clojure,16
Python,OCaml,6
Python,HCL,45
Python,Matlab,40
Python,Nix,14
Python,Vim script,28
Python,Erlang,16
Python,Dart,4
Python,CMake,58
Python,XSLT,25
Python,Emacs Lisp,23
