language1,language2,common_actors
JavaScript,JavaScript,42542
JavaScript,Python,2046
JavaScript,Java,1508
JavaScript,HTML,3506
JavaScript,Ruby,1203
JavaScript,PHP,1192
JavaScript,C++,482
JavaScript,C#,477
JavaScript,CSS,2186
JavaScript,Go,528
JavaScript,TypeScript,1161
JavaScript,C,318
JavaScript,Shell,815
JavaScript,Swift,136
JavaScript,Scala,122
JavaScript,PowerShell,47
JavaScript,Rust,112
JavaScript,Jupyter Notebook,100
JavaScript,Objective-C,201
JavaScript,DM,4
JavaScript,Kotlin,49
JavaScript,R,45
JavaScript,Elixir,87
JavaScript,Perl,57
JavaScript,Lua,41
JavaScript,Makefile,97
JavaScript,Vue,210
JavaScript,Groovy,74
JavaScript,TeX,41
JavaScript,Haskell,48
JavaScript,CoffeeScript,171
JavaScript,Clojure,50
JavaScript,Julia,7
JavaScript,Vim script,56
JavaScript,HCL,41
JavaScript,OCaml,29
JavaScript,XSLT,35
JavaScript,Matlab,10
JavaScript,CMake,21
JavaScript,Dart,16
JavaScript,Nix,11
JavaScript,Emacs Lisp,20
JavaScript,Arduino,29
JavaScript,Puppet,21
JavaScript,Erlang,21
JavaScript,Smarty,23
JavaScript,PLpgSQL,34
JavaScript,Visual Basic,11
JavaScript,F#,10
JavaScript,Batchfile,21
Python,JavaScript,2046
Python,Python,24998
Python,Java,792
Python,HTML,1300
Python,Ruby,464
Python,PHP,359
Python,C++,829
Python,C#,182
Python,CSS,676
Python,Go,437
Python,TypeScript,195
Python,C,595
Python,Shell,1047
Python,Swift,69
Python,Scala,82
Python,PowerShell,39
Python,Rust,87
Python,Jupyter Notebook,443
Python,Objective-C,45
Python,DM,3
Python,Kotlin,25
Python,R,47
Python,Elixir,23
Python,Perl,79
Python,Lua,44
Python,Makefile,143
Python,Vue,28
Python,Groovy,58
Python,TeX,105
Python,Haskell,34
Python,CoffeeScript,39
Python,Clojure,25
Python,Julia,20
Python,Vim script,45
Python,HCL,43
Python,OCaml,11
Python,XSLT,22
Python,Matlab,47
Python,CMake,85
Python,Dart,12
Python,Nix,8
Python,Emacs Lisp,29
Python,Arduino,30
Python,Puppet,32
Python,Erlang,20
Python,Smarty,29
Python,PLpgSQL,30
Python,Visual Basic,5
Python,F#,2
Python,Batchfile,21
Java,JavaScript,1508
Java,Python,792
Java,Java,23761
Java,HTML,954
Java,Ruby,284
Java,PHP,270
Java,C++,362
Java,C#,246
Java,CSS,457
Java,Go,221
Java,TypeScript,278
Java,C,259
Java,Shell,460
Java,Swift,101
Java,Scala,141
Java,PowerShell,11
Java,Rust,21
Java,Jupyter Notebook,48
Java,Objective-C,156
Java,DM,2
Java,Kotlin,179
Java,R,23
Java,Elixir,4
Java,Perl,36
Java,Lua,15
Java,Makefile,76
Java,Vue,14
Java,Groovy,138
Java,TeX,32
Java,Haskell,19
Java,CoffeeScript,21
Java,Clojure,34
Java,Julia,1
Java,Vim script,6
Java,HCL,8
Java,OCaml,8
Java,XSLT,51
Java,Matlab,19
Java,CMake,8
Java,Dart,15
Java,Nix,1
Java,Emacs Lisp,7
Java,Arduino,15
Java,Puppet,9
Java,Erlang,7
Java,Smarty,8
Java,PLpgSQL,17
Java,Visual Basic,6
Java,F#,3
Java,Batchfile,10
HTML,JavaScript,3506
HTML,Python,1300
HTML,Java,954
HTML,HTML,19792
HTML,Ruby,712
HTML,PHP,630
HTML,C++,308
HTML,C#,197
HTML,CSS,1690
HTML,Go,277
HTML,TypeScript,351
HTML,C,206
HTML,Shell,477
HTML,Swift,67
HTML,Scala,77
HTML,PowerShell,24
HTML,Rust,57
HTML,Jupyter Notebook,110
HTML,Objective-C,48
HTML,DM,1
HTML,Kotlin,24
HTML,R,100
HTML,Elixir,33
HTML,Perl,45
HTML,Lua,15
HTML,Makefile,59
HTML,Vue,42
HTML,Groovy,42
HTML,TeX,56
HTML,Haskell,25
HTML,CoffeeScript,64
HTML,Clojure,20
HTML,Julia,8
HTML,Vim script,24
HTML,HCL,16
HTML,OCaml,11
HTML,XSLT,17
HTML,Matlab,12
HTML,CMake,16
HTML,Dart,10
HTML,Nix,0
HTML,Emacs Lisp,9
HTML,Arduino,24
HTML,Puppet,36
HTML,Erlang,8
HTML,Smarty,9
HTML,PLpgSQL,13
HTML,Visual Basic,5
HTML,F#,3
HTML,Batchfile,12
Ruby,JavaScript,1203
Ruby,Python,464
Ruby,Java,284
Ruby,HTML,712
Ruby,Ruby,10350
Ruby,PHP,142
Ruby,C++,97
Ruby,C#,66
Ruby,CSS,458
Ruby,Go,239
Ruby,TypeScript,88
Ruby,C,110
Ruby,Shell,402
Ruby,Swift,63
Ruby,Scala,36
Ruby,PowerShell,16
Ruby,Rust,49
Ruby,Jupyter Notebook,13
Ruby,Objective-C,56
Ruby,DM,0
Ruby,Kotlin,21
Ruby,R,11
Ruby,Elixir,58
Ruby,Perl,35
Ruby,Lua,6
Ruby,Makefile,46
Ruby,Vue,18
Ruby,Groovy,21
Ruby,TeX,10
Ruby,Haskell,21
Ruby,CoffeeScript,51
Ruby,Clojure,21
Ruby,Julia,3
Ruby,Vim script,26
Ruby,HCL,38
Ruby,OCaml,2
Ruby,XSLT,13
Ruby,Matlab,4
Ruby,CMake,7
Ruby,Dart,5
Ruby,Nix,0
Ruby,Emacs Lisp,14
Ruby,Arduino,5
Ruby,Puppet,77
Ruby,Erlang,13
Ruby,Smarty,11
Ruby,PLpgSQL,6
Ruby,Visual Basic,1
Ruby,F#,2
Ruby,Batchfile,1
PHP,JavaScript,1192
PHP,Python,359
PHP,Java,270
PHP,HTML,630
PHP,Ruby,142
PHP,PHP,11903
PHP,C++,104
PHP,C#,96
PHP,CSS,495
PHP,Go,109
PHP,TypeScript,93
PHP,C,87
PHP,Shell,248
PHP,Swift,33
PHP,Scala,8
PHP,PowerShell,13
PHP,Rust,9
PHP,Jupyter Notebook,10
PHP,Objective-C,29
PHP,DM,0
PHP,Kotlin,5
PHP,R,5
PHP,Elixir,13
PHP,Perl,33
PHP,Lua,10
PHP,Makefile,31
PHP,Vue,30
PHP,Groovy,3
PHP,TeX,13
PHP,Haskell,11
PHP,CoffeeScript,15
PHP,Clojure,1
PHP,Julia,2
PHP,Vim script,12
PHP,HCL,3
PHP,OCaml,1
PHP,XSLT,16
PHP,Matlab,4
PHP,CMake,4
PHP,Dart,2
PHP,Nix,2
PHP,Emacs Lisp,2
PHP,Arduino,2
PHP,Puppet,8
PHP,Erlang,6
PHP,Smarty,5
PHP,PLpgSQL,5
PHP,Visual Basic,2
PHP,F#,1
PHP,Batchfile,5
C++,JavaScript,482
C++,Python,829
C++,Java,362
C++,HTML,308
C++,Ruby,97
C++,PHP,104
C++,C++,10190
C++,C#,124
C++,CSS,173
C++,Go,97
C++,TypeScript,64
C++,C,594
C++,Shell,275
C++,Swift,34
C++,Scala,20
C++,PowerShell,17
C++,Rust,41
C++,Jupyter Notebook,65
C++,Objective-C,28
C++,DM,2
C++,Kotlin,13
C++,R,30
C++,Elixir,4
C++,Perl,25
C++,Lua,53
C++,Makefile,104
C++,Vue,5
C++,Groovy,5
C++,TeX,31
C++,Haskell,16
C++,CoffeeScript,9
C++,Clojure,5
C++,Julia,10
C++,Vim script,14
C++,HCL,2
C++,OCaml,8
C++,XSLT,6
C++,Matlab,15
C++,CMake,120
C++,Dart,18
C++,Nix,8
C++,Emacs Lisp,10
C++,Arduino,27
C++,Puppet,1
C++,Erlang,6
C++,Smarty,2
C++,PLpgSQL,5
C++,Visual Basic,4
C++,F#,2
C++,Batchfile,7
C#,JavaScript,477
C#,Python,182
C#,Java,246
C#,HTML,197
C#,Ruby,66
C#,PHP,96
C#,C++,124
C#,C#,7823
C#,CSS,111
C#,Go,49
C#,TypeScript,175
C#,C,62
C#,Shell,46
C#,Swift,19
C#,Scala,9
C#,PowerShell,84
C#,Rust,12
C#,Jupyter Notebook,12
C#,Objective-C,33
C#,DM,3
C#,Kotlin,12
C#,R,4
C#,Elixir,6
C#,Perl,14
C#,Lua,9
C#,Makefile,9
C#,Vue,5
C#,Groovy,8
C#,TeX,12
C#,Haskell,4
C#,CoffeeScript,6
C#,Clojure,1
C#,Julia,0
C#,Vim script,5
C#,HCL,1
C#,OCaml,3
C#,XSLT,1
C#,Matlab,2
C#,CMake,4
C#,Dart,0
C#,Nix,0
C#,Emacs Lisp,1
C#,Arduino,6
C#,Puppet,0
C#,Erlang,1
C#,Smarty,0
C#,PLpgSQL,3
C#,Visual Basic,5
C#,F#,17
C#,Batchfile,4
CSS,JavaScript,2186
CSS,Python,676
CSS,Java,457
CSS,HTML,1690
CSS,Ruby,458
CSS,PHP,495
CSS,C++,173
CSS,C#,111
CSS,CSS,9862
CSS,Go,147
CSS,TypeScript,257
CSS,C,103
CSS,Shell,278
CSS,Swift,44
CSS,Scala,50
CSS,PowerShell,13
CSS,Rust,39
CSS,Jupyter Notebook,46
CSS,Objective-C,35
CSS,DM,2
CSS,Kotlin,22
CSS,R,19
CSS,Elixir,34
CSS,Perl,18
CSS,Lua,13
CSS,Makefile,53
CSS,Vue,27
CSS,Groovy,15
CSS,TeX,23
CSS,Haskell,7
CSS,CoffeeScript,32
CSS,Clojure,11
CSS,Julia,2
CSS,Vim script,18
CSS,HCL,20
CSS,OCaml,1
CSS,XSLT,9
CSS,Matlab,4
CSS,CMake,8
CSS,Dart,13
CSS,Nix,2
CSS,Emacs Lisp,7
CSS,Arduino,6
CSS,Puppet,26
CSS,Erlang,7
CSS,Smarty,7
CSS,PLpgSQL,4
CSS,Visual Basic,4
CSS,F#,3
CSS,Batchfile,8
Go,JavaScript,528
Go,Python,437
Go,Java,221
Go,HTML,277
Go,Ruby,239
Go,PHP,109
Go,C++,97
Go,C#,49
Go,CSS,147
Go,Go,5820
Go,TypeScript,75
Go,C,127
Go,Shell,434
Go,Swift,16
Go,Scala,29
Go,PowerShell,9
Go,Rust,39
Go,Jupyter Notebook,9
Go,Objective-C,18
Go,DM,1
Go,Kotlin,13
Go,R,0
Go,Elixir,13
Go,Perl,19
Go,Lua,16
Go,Makefile,75
Go,Vue,14
Go,Groovy,32
Go,TeX,13
Go,Haskell,11
Go,CoffeeScript,22
Go,Clojure,10
Go,Julia,1
Go,Vim script,27
Go,HCL,38
Go,OCaml,0
Go,XSLT,5
Go,Matlab,0
Go,CMake,3
Go,Dart,4
Go,Nix,4
Go,Emacs Lisp,7
Go,Arduino,3
Go,Puppet,4
Go,Erlang,9
Go,Smarty,28
Go,PLpgSQL,4
Go,Visual Basic,1
Go,F#,0
Go,Batchfile,4
TypeScript,JavaScript,1161
TypeScript,Python,195
TypeScript,Java,278
TypeScript,HTML,351
TypeScript,Ruby,88
TypeScript,PHP,93
TypeScript,C++,64
TypeScript,C#,175
TypeScript,CSS,257
TypeScript,Go,75
TypeScript,TypeScript,5549
TypeScript,C,25
TypeScript,Shell,118
TypeScript,Swift,21
TypeScript,Scala,23
TypeScript,PowerShell,18
TypeScript,Rust,22
TypeScript,Jupyter Notebook,14
TypeScript,Objective-C,34
TypeScript,DM,0
TypeScript,Kotlin,15
TypeScript,R,3
TypeScript,Elixir,16
TypeScript,Perl,1
TypeScript,Lua,3
TypeScript,Makefile,11
TypeScript,Vue,21
TypeScript,Groovy,19
TypeScript,TeX,5
TypeScript,Haskell,6
TypeScript,CoffeeScript,31
TypeScript,Clojure,1
TypeScript,Julia,3
TypeScript,Vim script,8
TypeScript,HCL,3
TypeScript,OCaml,4
TypeScript,XSLT,4
TypeScript,Matlab,0
TypeScript,CMake,1
TypeScript,Dart,1
TypeScript,Nix,1
TypeScript,Emacs Lisp,4
TypeScript,Arduino,4
TypeScript,Puppet,1
TypeScript,Erlang,4
TypeScript,Smarty,3
TypeScript,PLpgSQL,5
TypeScript,Visual Basic,3
TypeScript,F#,2
TypeScript,Batchfile,4
C,JavaScript,318
C,Python,595
C,Java,259
C,HTML,206
C,Ruby,110
C,PHP,87
C,C++,594
C,C#,62
C,CSS,103
C,Go,127
C,TypeScript,25
C,C,6798
C,Shell,291
C,Swift,23
C,Scala,17
C,PowerShell,10
C,Rust,47
C,Jupyter Notebook,39
C,Objective-C,23
C,DM,1
C,Kotlin,9
C,R,11
C,Elixir,8
C,Perl,59
C,Lua,35
C,Makefile,121
C,Vue,3
C,Groovy,5
C,TeX,39
C,Haskell,12
C,CoffeeScript,8
C,Clojure,5
C,Julia,10
C,Vim script,15
C,HCL,3
C,OCaml,5
C,XSLT,6
C,Matlab,12
C,CMake,23
C,Dart,2
C,Nix,3
C,Emacs Lisp,8
C,Arduino,11
C,Puppet,2
C,Erlang,11
C,Smarty,1
C,PLpgSQL,7
C,Visual Basic,0
C,F#,1
C,Batchfile,7
Shell,JavaScript,815
Shell,Python,1047
Shell,Java,460
Shell,HTML,477
Shell,Ruby,402
Shell,PHP,248
Shell,C++,275
Shell,C#,46
Shell,CSS,278
Shell,Go,434
Shell,TypeScript,118
Shell,C,291
Shell,Shell,6630
Shell,Swift,24
Shell,Scala,67
Shell,PowerShell,29
Shell,Rust,45
Shell,Jupyter Notebook,62
Shell,Objective-C,23
Shell,DM,2
Shell,Kotlin,29
Shell,R,30
Shell,Elixir,18
Shell,Perl,62
Shell,Lua,28
Shell,Makefile,127
Shell,Vue,8
Shell,Groovy,80
Shell,TeX,23
Shell,Haskell,15
Shell,CoffeeScript,32
Shell,Clojure,22
Shell,Julia,8
Shell,Vim script,36
Shell,HCL,63
Shell,OCaml,7
Shell,XSLT,20
Shell,Matlab,2
Shell,CMake,31
Shell,Dart,3
Shell,Nix,9
Shell,Emacs Lisp,13
Shell,Arduino,10
Shell,Puppet,22
Shell,Erlang,11
Shell,Smarty,29
Shell,PLpgSQL,12
Shell,Visual Basic,1
Shell,F#,2
Shell,Batchfile,9
Swift,JavaScript,136
Swift,Python,69
Swift,Java,101
Swift,HTML,67
Swift,Ruby,63
Swift,PHP,33
Swift,C++,34
Swift,C#,19
Swift,CSS,44
Swift,Go,16
Swift,TypeScript,21
Swift,C,23
Swift,Shell,24
Swift,Swift,2637
Swift,Scala,5
Swift,PowerShell,1
Swift,Rust,7
Swift,Jupyter Notebook,5
Swift,Objective-C,167
Swift,DM,0
Swift,Kotlin,13
Swift,R,1
Swift,Elixir,7
Swift,Perl,2
Swift,Lua,0
Swift,Makefile,3
Swift,Vue,0
Swift,Groovy,0
Swift,TeX,0
Swift,Haskell,1
Swift,CoffeeScript,1
Swift,Clojure,1
Swift,Julia,0
Swift,Vim script,2
