language1,language2,common_actors
JavaScript,JavaScript,35525
JavaScript,Python,1497
JavaScript,Java,1086
JavaScript,HTML,2766
JavaScript,Ruby,948
JavaScript,PHP,910
JavaScript,C++,330
JavaScript,Go,424
JavaScript,CSS,1582
JavaScript,C#,353
JavaScript,TypeScript,877
JavaScript,C,236
JavaScript,Shell,613
JavaScript,Scala,112
JavaScript,Swift,111
JavaScript,PowerShell,43
JavaScript,Rust,67
JavaScript,Objective-C,206
JavaScript,Jupyter Notebook,74
JavaScript,DM,3
JavaScript,R,39
JavaScript,Lua,41
JavaScript,Kotlin,33
JavaScript,Perl,40
JavaScript,Vue,149
JavaScript,Groovy,63
JavaScript,Makefile,69
JavaScript,Elixir,74
JavaScript,Julia,3
JavaScript,CoffeeScript,167
JavaScript,Haskell,23
JavaScript,TeX,32
JavaScript,Clojure,33
JavaScript,HCL,28
JavaScript,Nix,5
JavaScript,OCaml,24
JavaScript,XSLT,24
JavaScript,Vim script,35
JavaScript,Matlab,4
JavaScript,CMake,17
JavaScript,Smarty,16
JavaScript,Dart,12
JavaScript,Puppet,18
JavaScript,Erlang,14
JavaScript,Fortran,3
JavaScript,PLpgSQL,33
JavaScript,Emacs Lisp,17
JavaScript,Visual Basic,5
JavaScript,Arduino,5
JavaScript,F#,8
Python,JavaScript,1497
Python,Python,20618
Python,Java,526
Python,HTML,980
Python,Ruby,354
Python,PHP,246
Python,C++,613
Python,Go,365
Python,CSS,402
Python,C#,124
Python,TypeScript,121
Python,C,446
Python,Shell,879
Python,Scala,65
Python,Swift,40
Python,PowerShell,18
Python,Rust,64
Python,Objective-C,38
Python,Jupyter Notebook,332
Python,DM,5
Python,R,42
Python,Lua,32
Python,Kotlin,16
Python,Perl,63
Python,Vue,14
Python,Groovy,63
Python,Makefile,109
Python,Elixir,27
Python,Julia,14
Python,CoffeeScript,32
Python,Haskell,21
Python,TeX,70
Python,Clojure,19
Python,HCL,39
Python,Nix,13
Python,OCaml,9
Python,XSLT,27
Python,Vim script,20
Python,Matlab,24
Python,CMake,61
Python,Smarty,22
Python,Dart,7
Python,Puppet,27
Python,Erlang,14
Python,Fortran,15
Python,PLpgSQL,23
Python,Emacs Lisp,15
Python,Visual Basic,2
Python,Arduino,12
Python,F#,2
Java,JavaScript,1086
Java,Python,526
Java,Java,18509
Java,HTML,598
Java,Ruby,200
Java,PHP,176
Java,C++,209
Java,Go,161
Java,CSS,305
Java,C#,159
Java,TypeScript,191
