language1,language2,paradigm1,paradigm2,common_actors
SaltStack,SaltStack,undefined,undefined,76
SaltStack,Vala,undefined,undefined,0
SaltStack,ColdFusion,undefined,undefined,0
SaltStack,Shell,undefined,scripted,19
SaltStack,PowerShell,undefined,scripted,1
SaltStack,Vim script,undefined,scripted,0
SaltStack,Emacs Lisp,undefined,scripted,0
SaltStack,Batchfile,undefined,scripted,0
SaltStack,PHP,undefined,procedural,5
SaltStack,C++,undefined,procedural,1
SaltStack,JavaScript,undefined,oob,6
SaltStack,Python,undefined,oob,30
SaltStack,Java,undefined,oob,2
SaltStack,Ruby,undefined,oob,13
SaltStack,C#,undefined,oob,0
SaltStack,TypeScript,undefined,oob,0
SaltStack,Jupyter Notebook,undefined,oob,0
SaltStack,Objective-C,undefined,oob,1
SaltStack,Kotlin,undefined,oob,0
SaltStack,Dart,undefined,oob,0
SaltStack,Crystal,undefined,oob,0
SaltStack,Go,undefined,multi,3
SaltStack,Swift,undefined,multi,0
SaltStack,Scala,undefined,multi,0
SaltStack,R,undefined,multi,0
SaltStack,Rust,undefined,multi,0
SaltStack,Perl,undefined,multi,0
SaltStack,Lua,undefined,multi,0
SaltStack,CoffeeScript,undefined,multi,0
SaltStack,Matlab,undefined,multi,0
SaltStack,Julia,undefined,multi,0
SaltStack,Visual Basic,undefined,multi,0
SaltStack,F#,undefined,multi,0
SaltStack,D,undefined,multi,0
SaltStack,Assembly,undefined,machine,0
SaltStack,C,undefined,imperative,0
SaltStack,Arduino,undefined,imperative,0
SaltStack,Fortran,undefined,imperative,0
SaltStack,Elixir,undefined,functional,0
SaltStack,Groovy,undefined,functional,1
SaltStack,Haskell,undefined,functional,0
SaltStack,Clojure,undefined,functional,0
SaltStack,OCaml,undefined,functional,0
SaltStack,Erlang,undefined,functional,0
SaltStack,HTML,undefined,declarative,10
SaltStack,CSS,undefined,declarative,5
SaltStack,XSLT,undefined,declarative,0
SaltStack,PLpgSQL,undefined,declarative,0
SaltStack,Elm,undefined,declarative,0
SaltStack,Nix,undefined,declarative,0
Vala,SaltStack,undefined,undefined,0
Vala,Vala,undefined,undefined,71
Vala,ColdFusion,undefined,undefined,0
Vala,Shell,undefined,scripted,9
Vala,PowerShell,undefined,scripted,0
Vala,Vim script,undefined,scripted,1
Vala,Emacs Lisp,undefined,scripted,0
Vala,Batchfile,undefined,scripted,0
Vala,PHP,undefined,procedural,5
Vala,C++,undefined,procedural,2
Vala,JavaScript,undefined,oob,4
Vala,Python,undefined,oob,8
Vala,Java,undefined,oob,2
Vala,Ruby,undefined,oob,1
Vala,C#,undefined,oob,0
Vala,TypeScript,undefined,oob,1
Vala,Jupyter Notebook,undefined,oob,0
Vala,Objective-C,undefined,oob,0
Vala,Kotlin,undefined,oob,0
Vala,Dart,undefined,oob,0
Vala,Crystal,undefined,oob,0
Vala,Go,undefined,multi,2
Vala,Swift,undefined,multi,0
Vala,Scala,undefined,multi,0
Vala,R,undefined,multi,0
Vala,Rust,undefined,multi,2
Vala,Perl,undefined,multi,0
Vala,Lua,undefined,multi,0
Vala,CoffeeScript,undefined,multi,0
Vala,Matlab,undefined,multi,0
Vala,Julia,undefined,multi,0
Vala,Visual Basic,undefined,multi,0
Vala,F#,undefined,multi,0
Vala,D,undefined,multi,0
Vala,Assembly,undefined,machine,0
Vala,C,undefined,imperative,13
Vala,Arduino,undefined,imperative,0
Vala,Fortran,undefined,imperative,0
Vala,Elixir,undefined,functional,0
Vala,Groovy,undefined,functional,0
Vala,Haskell,undefined,functional,0
Vala,Clojure,undefined,functional,0
Vala,OCaml,undefined,functional,0
Vala,Erlang,undefined,functional,0
Vala,HTML,undefined,declarative,2
Vala,CSS,undefined,declarative,5
Vala,XSLT,undefined,declarative,0
Vala,PLpgSQL,undefined,declarative,0
Vala,Elm,undefined,declarative,0
Vala,Nix,undefined,declarative,0
ColdFusion,SaltStack,undefined,undefined,0
ColdFusion,Vala,undefined,undefined,0
ColdFusion,ColdFusion,undefined,undefined,37
ColdFusion,Shell,undefined,scripted,2
ColdFusion,PowerShell,undefined,scripted,0
ColdFusion,Vim script,undefined,scripted,0
ColdFusion,Emacs Lisp,undefined,scripted,0
ColdFusion,Batchfile,undefined,scripted,0
ColdFusion,PHP,undefined,procedural,0
ColdFusion,C++,undefined,procedural,0
ColdFusion,JavaScript,undefined,oob,4
ColdFusion,Python,undefined,oob,0
ColdFusion,Java,undefined,oob,2
ColdFusion,Ruby,undefined,oob,0
ColdFusion,C#,undefined,oob,0
