language1,language2,paradigm1,paradigm2,common_actors
Roff,Roff,undefined,undefined,107
Roff,Protocol Buffer,undefined,undefined,0
Roff,SaltStack,undefined,undefined,0
Roff,Vala,undefined,undefined,0
Roff,Shell,undefined,scripted,4
Roff,PowerShell,undefined,scripted,0
Roff,Vim script,undefined,scripted,0
Roff,Emacs Lisp,undefined,scripted,0
Roff,Batchfile,undefined,scripted,0
Roff,PHP,undefined,procedural,2
Roff,C++,undefined,procedural,2
Roff,JavaScript,undefined,oob,7
Roff,Python,undefined,oob,5
Roff,Java,undefined,oob,20
Roff,Ruby,undefined,oob,7
Roff,C#,undefined,oob,1
Roff,TypeScript,undefined,oob,0
Roff,Objective-C,undefined,oob,0
Roff,Jupyter Notebook,undefined,oob,1
Roff,Kotlin,undefined,oob,0
Roff,Dart,undefined,oob,0
Roff,Go,undefined,multi,4
Roff,Swift,undefined,multi,0
Roff,Scala,undefined,multi,7
Roff,R,undefined,multi,0
Roff,Rust,undefined,multi,0
Roff,Lua,undefined,multi,0
Roff,Perl,undefined,multi,0
Roff,CoffeeScript,undefined,multi,0
Roff,Matlab,undefined,multi,1
Roff,Julia,undefined,multi,0
Roff,Visual Basic,undefined,multi,0
Roff,F#,undefined,multi,0
Roff,D,undefined,multi,0
Roff,Assembly,undefined,machine,0
Roff,C,undefined,imperative,4
Roff,Arduino,undefined,imperative,0
Roff,Fortran,undefined,imperative,0
Roff,Elixir,undefined,functional,1
Roff,Groovy,undefined,functional,0
Roff,Haskell,undefined,functional,1
Roff,Clojure,undefined,functional,0
Roff,Erlang,undefined,functional,0
Roff,OCaml,undefined,functional,0
Roff,HTML,undefined,declarative,6
Roff,CSS,undefined,declarative,2
Roff,XSLT,undefined,declarative,0
Roff,PLpgSQL,undefined,declarative,0
Roff,Elm,undefined,declarative,0
Roff,Nix,undefined,declarative,0
Protocol Buffer,Roff,undefined,undefined,0
Protocol Buffer,Protocol Buffer,undefined,undefined,101
Protocol Buffer,SaltStack,undefined,undefined,0
Protocol Buffer,Vala,undefined,undefined,0
Protocol Buffer,Shell,undefined,scripted,6
Protocol Buffer,PowerShell,undefined,scripted,0
Protocol Buffer,Vim script,undefined,scripted,0
Protocol Buffer,Emacs Lisp,undefined,scripted,0
Protocol Buffer,Batchfile,undefined,scripted,0
Protocol Buffer,PHP,undefined,procedural,5
Protocol Buffer,C++,undefined,procedural,20
Protocol Buffer,JavaScript,undefined,oob,16
Protocol Buffer,Python,undefined,oob,23
Protocol Buffer,Java,undefined,oob,15
Protocol Buffer,Ruby,undefined,oob,5
Protocol Buffer,C#,undefined,oob,4
Protocol Buffer,TypeScript,undefined,oob,2
Protocol Buffer,Objective-C,undefined,oob,0
Protocol Buffer,Jupyter Notebook,undefined,oob,0
Protocol Buffer,Kotlin,undefined,oob,1
Protocol Buffer,Dart,undefined,oob,0
Protocol Buffer,Go,undefined,multi,26
Protocol Buffer,Swift,undefined,multi,1
Protocol Buffer,Scala,undefined,multi,4
Protocol Buffer,R,undefined,multi,0
Protocol Buffer,Rust,undefined,multi,1
Protocol Buffer,Lua,undefined,multi,0
Protocol Buffer,Perl,undefined,multi,0
Protocol Buffer,CoffeeScript,undefined,multi,0
Protocol Buffer,Matlab,undefined,multi,0
Protocol Buffer,Julia,undefined,multi,0
Protocol Buffer,Visual Basic,undefined,multi,0
Protocol Buffer,F#,undefined,multi,0
Protocol Buffer,D,undefined,multi,0
Protocol Buffer,Assembly,undefined,machine,0
Protocol Buffer,C,undefined,imperative,4
Protocol Buffer,Arduino,undefined,imperative,0
Protocol Buffer,Fortran,undefined,imperative,0
Protocol Buffer,Elixir,undefined,functional,1
Protocol Buffer,Groovy,undefined,functional,0
Protocol Buffer,Haskell,undefined,functional,0
Protocol Buffer,Clojure,undefined,functional,1
Protocol Buffer,Erlang,undefined,functional,1
Protocol Buffer,OCaml,undefined,functional,0
Protocol Buffer,HTML,undefined,declarative,3
Protocol Buffer,CSS,undefined,declarative,0
Protocol Buffer,XSLT,undefined,declarative,0
Protocol Buffer,PLpgSQL,undefined,declarative,0
Protocol Buffer,Elm,undefined,declarative,0
Protocol Buffer,Nix,undefined,declarative,0
SaltStack,Roff,undefined,undefined,0
SaltStack,Protocol Buffer,undefined,undefined,0
SaltStack,SaltStack,undefined,undefined,94
SaltStack,Vala,undefined,undefined,0
SaltStack,Shell,undefined,scripted,20
SaltStack,PowerShell,undefined,scripted,1
SaltStack,Vim script,undefined,scripted,2
SaltStack,Emacs Lisp,undefined,scripted,0
SaltStack,Batchfile,undefined,scripted,0
SaltStack,PHP,undefined,procedural,4
SaltStack,C++,undefined,procedural,1
SaltStack,JavaScript,undefined,oob,11
SaltStack,Python,undefined,oob,27
SaltStack,Java,undefined,oob,2
SaltStack,Ruby,undefined,oob,11
SaltStack,C#,undefined,oob,1
SaltStack,TypeScript,undefined,oob,0
SaltStack,Objective-C,undefined,oob,0
SaltStack,Jupyter Notebook,undefined,oob,1
SaltStack,Kotlin,undefined,oob,0
SaltStack,Dart,undefined,oob,0
SaltStack,Go,undefined,multi,4
SaltStack,Swift,undefined,multi,0
SaltStack,Scala,undefined,multi,1
SaltStack,R,undefined,multi,0
SaltStack,Rust,undefined,multi,0
SaltStack,Lua,undefined,multi,0
SaltStack,Perl,undefined,multi,0
SaltStack,CoffeeScript,undefined,multi,0
SaltStack,Matlab,undefined,multi,0
SaltStack,Julia,undefined,multi,0
SaltStack,Visual Basic,undefined,multi,0
SaltStack,F#,undefined,multi,0
SaltStack,D,undefined,multi,0
SaltStack,Assembly,undefined,machine,0
SaltStack,C,undefined,imperative,1
SaltStack,Arduino,undefined,imperative,0
SaltStack,Fortran,undefined,imperative,0
SaltStack,Elixir,undefined,functional,0
SaltStack,Groovy,undefined,functional,2
SaltStack,Haskell,undefined,functional,0
SaltStack,Clojure,undefined,functional,0
SaltStack,Erlang,undefined,functional,0
SaltStack,OCaml,undefined,functional,0
SaltStack,HTML,undefined,declarative,11
SaltStack,CSS,undefined,declarative,1
SaltStack,XSLT,undefined,declarative,0
SaltStack,PLpgSQL,undefined,declarative,0
SaltStack,Elm,undefined,declarative,1
SaltStack,Nix,undefined,declarative,0
Vala,Roff,undefined,undefined,0
Vala,Protocol Buffer,undefined,undefined,0
Vala,SaltStack,undefined,undefined,0
Vala,Vala,undefined,undefined,50
Vala,Shell,undefined,scripted,2
Vala,PowerShell,undefined,scripted,0
Vala,Vim script,undefined,scripted,0
Vala,Emacs Lisp,undefined,scripted,0
Vala,Batchfile,undefined,scripted,0
Vala,PHP,undefined,procedural,5
Vala,C++,undefined,procedural,1
